id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
1;Acrelândia;Água Branca;Alvarães;Serra do Navio;Abaíra;Abaiara;Brasília;Afonso Cláudio;Abadia de Goiás;Açailândia;Abadia Dos Dourados;Água Clara;Acorizal;Abaetetuba;Abatiá;Água Branca;Abreu e Lima;Acauã;Angra Dos Reis;Acari;Aceguá;Alta Floresta D´oeste;Amajari;Abdon Batista;Adamantina;Amparo de São Francisco;Abreulândia
2;Assis Brasil;Anadia;Amaturá;Amapá;Abaré;Acarapé;;Águia Branca;Abadiânia;Afonso Cunha;Abaeté;Alcinópolis;Água Boa;Abel Figueiredo;Adrianópolis;Aguiar;Afogados da Ingazeira;Agricolândia;Aperibé;Açu;Água Santa;Ariquemes;Alto Alegre;Abelardo Luz;Adolfo;Aquidabã;Aguiarnópolis
3;Brasiléia;Arapiraca;Anamã;Pedra Branca do Amapari;Acajutiba;Acaraú;;Água Doce do Norte;Acreúna;Água Doce do Maranhão;Abre Campo;Amambaí;Alta Floresta;Acará;Agudos do Sul;Alagoa Grande;Afrânio;Água Branca;Araruama;Afonso Bezerra;Agudo;Cabixi;Boa Vista;Agrolândia;Aguaí;Aracaju;Aliança do Tocantins
4;Bujari;Atalaia;Anori;Calçoene;Adustina;Acopiara;;Alegre;Adelândia;Alcântara;Acaiaca;Anastácio;Alto Araguaia;Afuá;Almirante Tamandaré;Alagoa Nova;Agrestina;Alagoinha do Piauí;Areal;Água Nova;Ajuricaba;Cacoal;Bonfim;Agronômica;Águas da Prata;Arauá;Almas
5;Capixaba;Barra de Santo Antônio;Apuí;Cutias;Água Fria;Aiuaba;;Alfredo Chaves;Água Fria de Goiás;Aldeias Altas;Açucena;Anaurilândia;Alto Boa Vista;Água Azul do Norte;Altamira do Paraná;Alagoinha;Água Preta;Alegrete do Piauí;Armação Dos Búzios;Alexandria;Alecrim;Cerejeiras;Cantá;Água Doce;Águas de Lindóia;Areia Branca;Alvorada
6;Cruzeiro do Sul;Barra de São Miguel;Atalaia do Norte;Ferreira Gomes;Érico Cardoso;Alcântaras;;Alto Rio Novo;Água Limpa;Altamira do Maranhão;Água Boa;Angélica;Alto Garças;Alenquer;Altônia;Alcantil;Águas Belas;Alto Longá;Arraial do Cabo;Almino Afonso;Alegrete;Colorado do Oeste;Caracaraí;Águas de Chapecó;Águas de Santa Bárbara;Barra Dos Coqueiros;Ananás
7;Epitaciolândia;Batalha;Autazes;Itaubal;Aiquara;Altaneira;;Anchieta;Águas Lindas de Goiás;Alto Alegre do Maranhão;Água Comprida;Antônio João;Alto Paraguai;Almeirim;Alto Paraná;Algodão de Jandaíra;Alagoinha;Altos;Barra do Piraí;Alto do Rodrigues;Alegria;Corumbiara;Caroebe;Águas Frias;Águas de São Pedro;Boquim;Angico
8;Feijó;Belém;Barcelos;Laranjal do Jari;Alagoinhas;Alto Santo;;Apiacá;Alexânia;Alto Alegre do Pindaré;Aguanil;Aparecida do Taboado;Alto Taquari;Altamira;Alto Piquiri;Alhandra;Aliança;Alvorada do Gurguéia;Barra Mansa;Angicos;Almirante Tamandaré do Sul;Costa Marques;Iracema;Águas Mornas;Agudos;Brejo Grande;Aparecida do Rio Negro
9;Jordão;Belo Monte;Barreirinha;Macapá;Alcobaça;Amontada;;Aracruz;Aloândia;Alto Parnaíba;Águas Formosas;Aquidauana;Apiacás;Anajás;Alvorada do Sul;São João do Rio do Peixe;Altinho;Amarante;Belford Roxo;Antônio Martins;Alpestre;Espigão D´oeste;Mucajaí;Alfredo Wagner;Alambari;Campo do Brito;Aragominas
10;Mâncio Lima;Boca da Mata;Benjamin Constant;Mazagão;Almadina;Antonina do Norte;;Atilio Vivacqua;Alto Horizonte;Amapá do Maranhão;Águas Vermelhas;Aral Moreira;Araguaiana;Ananindeua;Amaporã;Amparo;Amaraji;Angical do Piauí;Bom Jardim;Apodi;Alto Alegre;Guajará-mirim;Normandia;Alto Bela Vista;Alfredo Marcondes;Canhoba;Araguacema
11;Manoel Urbano;Branquinha;Beruri;Oiapoque;Amargosa;Apuiarés;;Baixo Guandu;Alto Paraíso de Goiás;Amarante do Maranhão;Aimorés;Bandeirantes;Araguainha;Anapu;Ampére;Aparecida;Angelim;Anísio de Abreu;Bom Jesus do Itabapoana;Areia Branca;Alto Feliz;Jaru;Pacaraima;Anchieta;Altair;Canindé de São Francisco;Araguaçu
12;Marechal Thaumaturgo;Cacimbinhas;Boa Vista do Ramos;Porto Grande;Amélia Rodrigues;Aquiraz;;Barra de São Francisco;Alvorada do Norte;Anajatuba;Aiuruoca;Bataguassu;Araputanga;Augusto Corrêa;Anahy;Araçagi;Araçoiaba;Antônio Almeida;Cabo Frio;Arês;Alvorada;Ji-paraná;Rorainópolis;Angelina;Altinópolis;Capela;Araguaína
13;Plácido de Castro;Cajueiro;Boca do Acre;Pracuúba;América Dourada;Aracati;;Boa Esperança;Amaralina;Anapurus;Alagoa;Batayporã;Arenápolis;Aurora do Pará;Andirá;Arara;Araripina;Aroazes;Cachoeiras de Macacu;Augusto Severo;Amaral Ferrador;Machadinho D´oeste;São João da Baliza;Anita Garibaldi;Alto Alegre;Carira;Araguanã
14;Porto Acre;Campestre;Borba;Santana;Anagé;Aracoiaba;;Bom Jesus do Norte;Americano do Brasil;Apicum-açu;Albertina;Bela Vista;Aripuanã;Aveiro;Ângulo;Araruna;Arcoverde;Aroeiras do Itaim;Cambuci;Baía Formosa;Ametista do Sul;Nova Brasilândia D´oeste;São Luiz;Anitápolis;Alumínio;Carmópolis;Araguatins
15;Porto Walter;Campo Alegre;Caapiranga;Tartarugalzinho;Andaraí;Ararendá;;Brejetuba;Amorinópolis;Araguanã;Além Paraíba;Bodoquena;Barão de Melgaço;Bagre;Antonina;Areia;Barra de Guabiraba;Arraial;Carapebus;Baraúna;André da Rocha;Ouro Preto do Oeste;Uiramutã;Antônio Carlos;Álvares Florence;Cedro de São João;Arapoema
16;Rio Branco;Campo Grande;Canutama;Vitória do Jari;Andorinha;Araripe;;Cachoeiro de Itapemirim;Anápolis;Araioses;Alfenas;Bonito;Barra do Bugres;Baião;Antônio Olinto;Areia de Baraúnas;Barreiros;Assunção do Piauí;Comendador Levy Gasparian;Barcelona;Anta Gorda;Pimenta Bueno;;Apiúna;Álvares Machado;Cristinápolis;Arraias
17;Rodrigues Alves;Canapi;Carauari;;Angical;Aratuba;;Cariacica;Anhanguera;Arame;Alfredo Vasconcelos;Brasilândia;Barra do Garças;Bannach;Apucarana;Areial;Belém de Maria;Avelino Lopes;Campos Dos Goytacazes;Bento Fernandes;Antônio Prado;Porto Velho;;Arabutã;Álvaro de Carvalho;Cumbe;Augustinópolis
18;Santa Rosa do Purus;Capela;Careiro;;Anguera;Arneiroz;;Castelo;Anicuns;Arari;Almenara;Caarapó;Bom Jesus do Araguaia;Barcarena;Arapongas;Aroeiras;Belém de São Francisco;Baixa Grande do Ribeiro;Cantagalo;Bodó;Arambaré;Presidente Médici;;Araquari;Alvinlândia;Divina Pastora;Aurora do Tocantins
19;Senador Guiomard;Carneiros;Careiro da Várzea;;Antas;Assaré;;Colatina;Aparecida de Goiânia;Axixá;Alpercata;Camapuã;Brasnorte;Belém;Arapoti;Assunção;Belo Jardim;Barra D´alcântara;Cardoso Moreira;Bom Jesus;Araricá;Rio Crespo;;Araranguá;Americana;Estância;Axixá do Tocantins
20;Sena Madureira;Chã Preta;Coari;;Antônio Cardoso;Aurora;;Conceição da Barra;Aparecida do Rio Doce;Bacabal;Alpinópolis;Campo Grande;Cáceres;Belterra;Arapuã;Baía da Traição;Betânia;Barras;Carmo;Brejinho;Aratiba;Rolim de Moura;;Armazém;Américo Brasiliense;Feira Nova;Babaçulândia
21;Tarauacá;Coité do Nóia;Codajás;;Antônio Gonçalves;Baixio;;Conceição do Castelo;Aporé;Bacabeira;Alterosa;Caracol;Campinápolis;Benevides;Araruna;Bananeiras;Bezerros;Barreiras do Piauí;Casimiro de Abreu;Caiçara do Norte;Arroio do Meio;Santa Luzia D´oeste;;Arroio Trinta;Américo de Campos;Frei Paulo;Bandeirantes do Tocantins
22;Xapuri;Colônia Leopoldina;Eirunepé;;Aporá;Banabuiú;;Divino de São Lourenço;Araçu;Bacuri;Alto Caparaó;Cassilândia;Campo Novo do Parecis;Bom Jesus do Tocantins;Araucária;Baraúna;Bodocó;Barro Duro;Conceição de Macabu;Caiçara do Rio do Vento;Arroio do Sal;Vilhena;;Arvoredo;Amparo;Gararu;Barra do Ouro
23;;Coqueiro Seco;Envira;;Apuarema;Barbalha;;Domingos Martins;Aragarças;Bacurituba;Alto Rio Doce;Chapadão do Sul;Campo Verde;Bonito;Ariranha do Ivaí;Barra de Santana;Bom Conselho;Batalha;Cordeiro;Caicó;Arroio do Padre;São Miguel do Guaporé;;Ascurra;Analândia;General Maynard;Barrolândia
24;;Coruripe;Fonte Boa;;Aracatu;Barreira;;Dores do Rio Preto;Aragoiânia;Balsas;Alvarenga;Corguinho;Campos de Júlio;Bragança;Assaí;Barra de Santa Rosa;Bom Jardim;Bela Vista do Piauí;Duas Barras;Campo Redondo;Arroio Dos Ratos;Nova Mamoré;;Atalanta;Andradina;Gracho Cardoso;Bernardo Sayão
25;;Craíbas;Guajará;;Araças;Barro;;Ecoporanga;Araguapaz;Barão de Grajaú;Alvinópolis;Coronel Sapucaia;Canabrava do Norte;Brasil Novo;Assis Chateaubriand;Barra de São Miguel;Bonito;Belém do Piauí;Duque de Caxias;Canguaretama;Arroio do Tigre;Alvorada D´oeste;;Aurora;Angatuba;Ilha Das Flores;Bom Jesus do Tocantins
26;;Delmiro Gouveia;Humaitá;;Araci;Barroquinha;;Fundão;Arenópolis;Barra do Corda;Alvorada de Minas;Corumbá;Canarana;Brejo Grande do Araguaia;Astorga;Bayeux;Brejão;Beneditinos;Engenheiro Paulo de Frontin;Caraúbas;Arroio Grande;Alto Alegre Dos Parecis;;Balneário Arroio do Silva;Anhembi;Indiaroba;Brasilândia do Tocantins
27;;Dois Riachos;Ipixuna;;Aramari;Baturité;;Governador Lindenberg;Aruanã;Barreirinhas;Amparo do Serra;Costa Rica;Carlinda;Breu Branco;Atalaia;Belém;Brejinho;Bertolínia;Guapimirim;Carnaúba Dos Dantas;Arvorezinha;Alto Paraíso;;Balneário Camboriú;Anhumas;Itabaiana;Brejinho de Nazaré
28;;Estrela de Alagoas;Iranduba;;Arataca;Beberibe;;Guaçuí;Aurilândia;Belágua;Andradas;Coxim;Castanheira;Breves;Balsa Nova;Belém do Brejo do Cruz;Brejo da Madre de Deus;Betânia do Piauí;Iguaba Grande;Carnaubais;Augusto Pestana;Buritis;;Balneário Barra do Sul;Aparecida;Itabaianinha;Buriti do Tocantins
29;;Feira Grande;Itacoatiara;;Aratuípe;Bela Cruz;;Guarapari;Avelinópolis;Bela Vista do Maranhão;Cachoeira de Pajeú;Deodápolis;Chapada Dos Guimarães;Bujaru;Bandeirantes;Bernardino Batista;Buenos Aires;Boa Hora;Itaboraí;Ceará-mirim;Áurea;Novo Horizonte do Oeste;;Balneário Gaivota;Aparecida D´oeste;Itabi;Cachoeirinha
30;;Feliz Deserto;Itamarati;;Aurelino Leal;Boa Viagem;;Ibatiba;Baliza;Benedito Leite;Andrelândia;Dois Irmãos do Buriti;Cláudia;Cachoeira do Piriá;Barbosa Ferraz;Boa Ventura;Buíque;Bocaina;Itaguaí;Cerro Corá;Bagé;Cacaulândia;;Bandeirante;Apiaí;Itaporanga D´ajuda;Campos Lindos
31;;Flexeiras;Itapiranga;;Baianópolis;Brejo Santo;;Ibiraçu;Barro Alto;Bequimão;Angelândia;Douradina;Cocalinho;Cachoeira do Arari;Barracão;Boa Vista;Cabo de Santo Agostinho;Bom Jesus;Italva;Coronel Ezequiel;Balneário Pinhal;Campo Novo de Rondônia;;Barra Bonita;Araçariguama;Japaratuba;Cariri do Tocantins
32;;Girau do Ponciano;Japurá;;Baixa Grande;Camocim;;Ibitirama;Bela Vista de Goiás;Bernardo do Mearim;Antônio Carlos;Dourados;Colíder;Cametá;Barra do Jacaré;Bom Jesus;Cabrobó;Bom Princípio do Piauí;Itaocara;Coronel João Pessoa;Barão;Candeias do Jamari;;Barra Velha;Araçatuba;Japoatã;Carmolândia
33;;Ibateguara;Juruá;;Banzaê;Campos Sales;;Iconha;Bom Jardim de Goiás;Boa Vista do Gurupi;Antônio Dias;Eldorado;Colniza;Canaã Dos Carajás;Bela Vista da Caroba;Bom Sucesso;Cachoeirinha;Bonfim do Piauí;Itaperuna;Cruzeta;Barão de Cotegipe;Castanheiras;;Bela Vista do Toldo;Araçoiaba da Serra;Lagarto;Carrasco Bonito
34;;Igaci;Jutaí;;Barra;Canindé;;Irupi;Bom Jesus de Goiás;Bom Jardim;Antônio Prado de Minas;Fátima do Sul;Comodoro;Capanema;Bela Vista do Paraíso;Bonito de Santa fé;Caetés;Boqueirão do Piauí;Itatiaia;Currais Novos;Barão do Triunfo;Chupinguaia;;Belmonte;Aramina;Laranjeiras;Caseara
35;;Igreja Nova;Lábrea;;Barra da Estiva;Capistrano;;Itaguaçu;Bonfinópolis;Bom Jesus Das Selvas;Araçaí;Figueirão;Confresa;Capitão Poço;Bituruna;Boqueirão;Calçado;Brasileira;Japeri;Doutor Severiano;Barracão;Cujubim;;Benedito Novo;Arandu;Macambira;Centenário
36;;Inhapi;Manacapuru;;Barra do Choça;Caridade;;Itapemirim;Bonópolis;Bom Lugar;Aracitaba;Glória de Dourados;Conquista D´oeste;Castanhal;Boa Esperança;Igaracy;Calumbi;Brejo do Piauí;Laje do Muriaé;Parnamirim;Barra do Guarita;Governador Jorge Teixeira;;Biguaçu;Arapeí;Malhada Dos Bois;Chapada de Areia
37;;Jacaré Dos Homens;Manaquiri;;Barra do Mendes;Cariré;;Itarana;Brazabrantes;Brejo;Araçuaí;Guia Lopes da Laguna;Cotriguaçu;Chaves;Boa Esperança do Iguaçu;Borborema;Camaragibe;Buriti Dos Lopes;Macaé;Encanto;Barra do Quaraí;Itapuã do Oeste;;Blumenau;Araraquara;Malhador;Chapada da Natividade
38;;Jacuípe;Manaus;;Barra do Rocha;Caririaçu;;Iúna;Britânia;Brejo de Areia;Araguari;Iguatemi;Cuiabá;Colares;Boa Ventura de São Roque;Brejo do Cruz;Camocim de São Félix;Buriti Dos Montes;Macuco;Equador;Barra do Ribeiro;Ministro Andreazza;;Bocaina do Sul;Araras;Maruim;Colinas do Tocantins
39;;Japaratinga;Manicoré;;Barreiras;Cariús;;Jaguaré;Buriti Alegre;Buriti;Arantina;Inocência;Curvelândia;Conceição do Araguaia;Boa Vista da Aparecida;Brejo Dos Santos;Camutanga;Cabeceiras do Piauí;Magé;Espírito Santo;Barra do Rio Azul;Mirante da Serra;;Bombinhas;Arco-íris;Moita Bonita;Combinado
40;;Jaramataia;Maraã;;Barro Alto;Carnaubal;;Jerônimo Monteiro;Buriti de Goiás;Buriti Bravo;Araponga;Itaporã;Denise;Concórdia do Pará;Bocaiúva do Sul;Caaporã;Canhotinho;Cajazeiras do Piauí;Mangaratiba;Extremoz;Barra Funda;Monte Negro;;Bom Jardim da Serra;Arealva;Monte Alegre de Sergipe;Conceição do Tocantins
41;;Jequiá da Praia;Maués;;Barrocas;Cascavel;;João Neiva;Buritinópolis;Buriticupu;Araporã;Itaquiraí;Diamantino;Cumaru do Norte;Bom Jesus do Sul;Cabaceiras;Capoeiras;Cajueiro da Praia;Maricá;Felipe Guerra;Barros Cassal;Nova União;;Bom Jesus;Areias;Muribeca;Couto de Magalhães
42;;Joaquim Gomes;Nhamundá;;Governador Lomanto Júnior;Catarina;;Laranja da Terra;Cabeceiras;Buritirana;Arapuá;Ivinhema;Dom Aquino;Curionópolis;Bom Sucesso;Cabedelo;Carnaíba;Caldeirão Grande do Piauí;Mendes;Fernando Pedroza;Benjamin Constant do Sul;Parecis;;Bom Jesus do Oeste;Areiópolis;Neópolis;Cristalândia
43;;Jundiá;Nova Olinda do Norte;;Belmonte;Catunda;;Linhares;Cachoeira Alta;Cachoeira Grande;Araújos;Japorã;Feliz Natal;Curralinho;Bom Sucesso do Sul;Cachoeira Dos Índios;Carnaubeira da Penha;Campinas do Piauí;Mesquita;Florânia;Bento Gonçalves;Pimenteiras do Oeste;;Bom Retiro;Ariranha;Nossa Senhora Aparecida;Crixás do Tocantins
44;;Junqueiro;Novo Airão;;Belo Campo;Caucaia;;Mantenópolis;Cachoeira de Goiás;Cajapió;Araxá;Jaraguari;Figueirópolis D´oeste;Curuá;Borrazópolis;Cacimba de Areia;Carpina;Campo Alegre do Fidalgo;Miguel Pereira;Francisco Dantas;Boa Vista Das Missões;Primavera de Rondônia;;Botuverá;Artur Nogueira;Nossa Senhora da Glória;Darcinópolis
45;;Lagoa da Canoa;Novo Aripuanã;;Biritinga;Cedro;;Marataízes;Cachoeira Dourada;Cajari;Arceburgo;Jardim;Gaúcha do Norte;Curuçá;Braganey;Cacimba de Dentro;Caruaru;Campo Grande do Piauí;Miracema;Frutuoso Gomes;Boa Vista do Buricá;São Felipe D´oeste;;Braço do Norte;Arujá;Nossa Senhora Das Dores;Dianópolis
46;;Limoeiro de Anadia;Parintins;;Boa Nova;Chaval;;Marechal Floriano;Caçu;Campestre do Maranhão;Arcos;Jateí;General Carneiro;Dom Eliseu;Brasilândia do Sul;Cacimbas;Casinhas;Campo Largo do Piauí;Natividade;Galinhos;Boa Vista do Cadeado;São Francisco do Guaporé;;Braço do Trombudo;Aspásia;Nossa Senhora de Lourdes;Divinópolis do Tocantins
47;;Maceió;Pauini;;Boa Vista do Tupim;Choró;;Marilândia;Caiapônia;Cândido Mendes;Areado;Juti;Glória D´oeste;Eldorado Dos Carajás;Cafeara;Caiçara;Catende;Campo Maior;Nilópolis;Goianinha;Boa Vista do Incra;Seringueiras;;Brunópolis;Assis;Nossa Senhora do Socorro;Dois Irmãos do Tocantins
48;;Major Isidoro;Presidente Figueiredo;;Bom Jesus da Lapa;Chorozinho;;Mimoso do Sul;Caldas Novas;Cantanhede;Argirita;Ladário;Guarantã do Norte;Faro;Cafelândia;Cajazeiras;Cedro;Canavieira;Niterói;Governador Dix-sept Rosado;Boa Vista do Sul;Teixeirópolis;;Brusque;Atibaia;Pacatuba;Dueré
49;;Maragogi;Rio Preto da Eva;;Bom Jesus da Serra;Coreaú;;Montanha;Caldazinha;Capinzal do Norte;Aricanduva;Laguna Carapã;Guiratinga;Floresta do Araguaia;Cafezal do Sul;Cajazeirinhas;Chã de Alegria;Canto do Buriti;Nova Friburgo;Grossos;Bom Jesus;Theobroma;;Caçador;Auriflama;Pedra Mole;Esperantina
50;;Maravilha;Santa Isabel do Rio Negro;;Boninal;Crateús;;Mucurici;Campestre de Goiás;Carolina;Arinos;Maracaju;Indiavaí;Garrafão do Norte;Califórnia;Caldas Brandão;Chã Grande;Capitão de Campos;Nova Iguaçu;Guamaré;Bom Princípio;Urupá;;Caibi;Avaí;Pedrinhas;Fátima
51;;Marechal Deodoro;Santo Antônio do Içá;;Bonito;Crato;;Muniz Freire;Campinaçu;Carutapera;Astolfo Dutra;Miranda;Ipiranga do Norte;Goianésia do Pará;Cambará;Camalaú;Condado;Capitão Gervásio Oliveira;Paracambi;Ielmo Marinho;Bom Progresso;Vale do Anari;;Calmon;Avanhandava;Pinhão;Figueirópolis
52;;Maribondo;São Gabriel da Cachoeira;;Boquira;Croatá;;Muqui;Campinorte;Caxias;Ataléia;Mundo Novo;Itanhangá;Gurupá;Cambé;Campina Grande;Correntes;Caracol;Paraíba do Sul;Ipanguaçu;Bom Retiro do Sul;Vale do Paraíso;;Camboriú;Avaré;Pirambu;Filadélfia
53;;Mar Vermelho;São Paulo de Olivença;;Botuporã;Cruz;;Nova Venécia;Campo Alegre de Goiás;Cedral;Augusto de Lima;Naviraí;Itaúba;Igarapé-açu;Cambira;Capim;Cortês;Caraúbas do Piauí;Parati;Ipueira;Boqueirão do Leão;;;Capão Alto;Bady Bassitt;Poço Redondo;Formoso do Araguaia
54;;Mata Grande;São Sebastião do Uatumã;;Brejões;Deputado Irapuan Pinheiro;;Pancas;Campo Limpo de Goiás;Central do Maranhão;Baependi;Nioaque;Itiquira;Igarapé-miri;Campina da Lagoa;Caraúbas;Cumaru;Caridade do Piauí;Paty do Alferes;Itajá;Bossoroca;;;Campo Alegre;Balbinos;Poço Verde;Fortaleza do Tabocão
55;;Matriz de Camaragibe;Silves;;Brejolândia;Ererê;;Pedro Canário;Campos Belos;Centro do Guilherme;Baldim;Nova Alvorada do Sul;Jaciara;Inhangapi;Campina do Simão;Carrapateira;Cupira;Castelo do Piauí;Petrópolis;Itaú;Bozano;;;Campo Belo do Sul;Bálsamo;Porto da Folha;Goianorte
56;;Messias;Tabatinga;;Brotas de Macaúbas;Eusébio;;Pinheiros;Campos Verdes;Centro Novo do Maranhão;Bambuí;Nova Andradina;Jangada;Ipixuna do Pará;Campina Grande do Sul;Casserengue;Custódia;Caxingó;Pinheiral;Jaçanã;Braga;;;Campo Erê;Bananal;Propriá;Goiatins
57;;Minador do Negrão;Tapauá;;Brumado;Farias Brito;;Piúma;Carmo do Rio Verde;Chapadinha;Bandeira;Novo Horizonte do Sul;Jauru;Irituia;Campo Bonito;Catingueira;Dormentes;Cocal;Piraí;Jandaíra;Brochier;;;Campos Novos;Barão de Antonina;Riachão do Dantas;Guaraí
58;;Monteirópolis;Tefé;;Buerarema;Forquilha;;Ponto Belo;Castelândia;Cidelândia;Bandeira do Sul;Paraíso das Águas;Juara;Itaituba;Campo do Tenente;Catolé do Rocha;Escada;Cocal de Telha;Porciúncula;Janduís;Butiá;;;Canelinha;Barbosa;Riachuelo;Gurupi
59;;Murici;Tonantins;;Buritirama;Fortaleza;;Presidente Kennedy;Catalão;Codó;Barão de Cocais;Paranaíba;Juína;Itupiranga;Campo Largo;Caturité;Exu;Cocal Dos Alves;Porto Real;Januário Cicco;Caçapava do Sul;;;Canoinhas;Bariri;Ribeirópolis;Ipueiras
60;;Novo Lino;Uarini;;Caatiba;Fortim;;Rio Bananal;Caturaí;Coelho Neto;Barão de Monte Alto;Paranhos;Juruena;Jacareacanga;Campo Magro;Conceição;Feira Nova;Coivaras;Quatis;Japi;Cacequi;;;Capinzal;Barra Bonita;Rosário do Catete;Itacajá
61;;Olho D´água Das Flores;Urucará;;Cabaceiras do Paraguaçu;Frecheirinha;;Rio Novo do Sul;Cavalcante;Colinas;Barbacena;Pedro Gomes;Juscimeira;Jacundá;Campo Mourão;Condado;Fernando de Noronha;Colônia do Gurguéia;Queimados;Jardim de Angicos;Cachoeira do Sul;;;Capivari de Baixo;Barra do Chapéu;Salgado;Itaguatins
62;;Olho D´água do Casado;Urucurituba;;Cachoeira;General Sampaio;;Santa Leopoldina;Ceres;Conceição do Lago-açu;Barra Longa;Ponta Porã;Lambari D´oeste;Juruti;Cândido de Abreu;Conde;Ferreiros;Colônia do Piauí;Quissamã;Jardim de Piranhas;Cachoeirinha;;;Catanduvas;Barra do Turvo;Santa Luzia do Itanhy;Itapiratins
63;;Olho D´água Grande;;;Caculé;Graça;;Santa Maria de Jetibá;Cezarina;Coroatá;Barroso;Porto Murtinho;Lucas do Rio Verde;Limoeiro do Ajuru;Candói;Congo;Flores;Conceição do Canindé;Resende;Jardim do Seridó;Cacique Doble;;;Caxambu do Sul;Barretos;Santana do São Francisco;Itaporã do Tocantins
64;;Olivença;;;Caém;Granja;;Santa Teresa;Chapadão do Céu;Cururupu;Bela Vista de Minas;Ribas do Rio Pardo;Luciára;Mãe do Rio;Cantagalo;Coremas;Floresta;Coronel José Dias;Rio Bonito;João Câmara;Caibaté;;;Celso Ramos;Barrinha;Santa Rosa de Lima;Jaú do Tocantins
65;;Ouro Branco;;;Caetanos;Granjeiro;;São Domingos do Norte;Cidade Ocidental;Davinópolis;Belmiro Braga;Rio Brilhante;Vila Bela da Santíssima Trindade;Magalhães Barata;Capanema;Coxixola;Frei Miguelinho;Corrente;Rio Claro;João Dias;Caiçara;;;Cerro Negro;Barueri;Santo Amaro Das Brotas;Juarina
66;;Palestina;;;Caetité;Groaíras;;São Gabriel da Palha;Cocalzinho de Goiás;Dom Pedro;Belo Horizonte;Rio Negro;Marcelândia;Marabá;Capitão Leônidas Marques;Cruz do Espírito Santo;Gameleira;Cristalândia do Piauí;Rio Das Flores;José da Penha;Camaquã;;;Chapadão do Lageado;Bastos;São Cristóvão;Lagoa da Confusão
67;;Palmeira Dos Índios;;;Cafarnaum;Guaiúba;;São José do Calçado;Colinas do Sul;Duque Bacelar;Belo Oriente;Rio Verde de Mato Grosso;Matupá;Maracanã;Carambeí;Cubati;Garanhuns;Cristino Castro;Rio Das Ostras;Jucurutu;Camargo;;;Chapecó;Batatais;São Domingos;Lagoa do Tocantins
68;;Pão de Açúcar;;;Cairu;Guaraciaba do Norte;;São Mateus;Córrego do Ouro;Esperantinópolis;Belo Vale;Rochedo;Mirassol D´oeste;Marapanim;Carlópolis;Cuité;Glória do Goitá;Curimatá;Rio de Janeiro;Jundiá;Cambará do Sul;;;Cocal do Sul;Bauru;São Francisco;Lajeado
69;;Pariconha;;;Caldeirão Grande;Guaramiranga;;São Roque do Canaã;Corumbá de Goiás;Estreito;Berilo;Santa Rita do Pardo;Nobres;Marituba;Cascavel;Cuitegi;Goiana;Currais;Santa Maria Madalena;Lagoa D´anta;Campestre da Serra;;;Concórdia;Bebedouro;São Miguel do Aleixo;Lavandeira
70;;Paripueira;;;Camacan;Hidrolândia;;Serra;Corumbaíba;Feira Nova do Maranhão;Bertópolis;São Gabriel do Oeste;Nortelândia;Medicilândia;Castro;Cuité de Mamanguape;Granito;Curralinhos;Santo Antônio de Pádua;Lagoa de Pedras;Campina Das Missões;;;Cordilheira Alta;Bento de Abreu;Simão Dias;Lizarda
71;;Passo de Camaragibe;;;Camaçari;Horizonte;;Sooretama;Cristalina;Fernando Falcão;Berizal;Sete Quedas;Nossa Senhora do Livramento;Melgaço;Catanduvas;Curral de Cima;Gravatá;Curral Novo do Piauí;São Francisco de Itabapoana;Lagoa de Velhos;Campinas do Sul;;;Coronel Freitas;Bernardino de Campos;Siriri;Luzinópolis
72;;Paulo Jacinto;;;Camamu;Ibaretama;;Vargem Alta;Cristianópolis;Formosa da Serra Negra;Betim;Selvíria;Nova Bandeirantes;Mocajuba;Centenário do Sul;Curral Velho;Iati;Demerval Lobão;São Fidélis;Lagoa Nova;Campo Bom;;;Coronel Martins;Bertioga;Telha;Marianópolis do Tocantins
